time,number,latitude,longitude,cape,tcw,sshf,slhf,u10,v10,t2m,d2m,ssr,str,cin,sm,st,tcc,tp,mx2t6,mn2t6
2023-04-29 00:00:00,29,50.75,4.25,2.0872192,14.997493,158.0,-2.0,3.1359851,-1.470068,281.9886,280.7835,0.0,0.0,,389.58478,284.5065,96.22115,0.0,,
2023-04-29 00:00:00,30,50.75,4.25,4.693939,14.119172,158.0,-2.0,3.2615054,-2.0125985,281.46405,280.81873,0.0,0.0,,390.49194,284.55496,70.51477,0.0,,
2023-04-29 00:00:00,31,50.75,4.25,2.5607452,14.998722,158.0,-2.0,3.1148515,-2.407052,281.79984,280.59143,0.0,0.0,,388.61792,284.59464,84.15231,0.0,,
2023-04-29 00:00:00,32,50.75,4.25,4.2939606,15.076402,158.0,-2.0,2.9025557,-2.2559075,282.01874,281.07816,0.0,0.0,,402.51593,284.58212,86.27644,0.0,,
2023-04-29 00:00:00,33,50.75,4.25,5.0755157,14.853441,158.0,-2.0,3.0082233,-1.6829809,280.77097,280.4401,0.0,0.0,,389.81754,284.30014,83.54345,0.0,,
2023-04-29 00:00:00,34,50.75,4.25,5.342163,14.756588,158.0,-2.0,3.0508106,-1.3522478,280.95755,280.61612,0.0,0.0,,390.8779,284.2706,77.81956,0.0,,
2023-04-29 00:00:00,35,50.75,4.25,4.3215485,15.015683,158.0,-2.0,2.9236891,-1.5625114,282.24896,281.31387,0.0,0.0,,396.89984,284.40207,82.0007,0.0,,
2023-04-29 00:00:00,36,50.75,4.25,7.7098236,14.738643,158.0,-2.0,3.2723925,-1.6985973,281.4829,281.41318,0.0,0.0,,386.4634,284.29977,93.12039,0.0,,
2023-04-29 00:00:00,37,50.75,4.25,1.443573,15.083776,158.0,-2.0,2.9118416,-2.0068817,281.2527,280.86444,0.0,0.0,,379.33536,284.40683,75.42532,0.0,,
2023-04-29 00:00:00,38,50.75,4.25,4.087082,14.69169,158.0,-2.0,3.0136666,-1.8689834,282.33862,281.12198,0.0,0.0,,407.47354,284.71948,98.442955,0.0,,
2023-04-29 00:00:00,39,50.75,4.25,6.1421204,14.955703,158.0,-2.0,3.3958316,-2.0448072,282.39087,281.34717,0.0,0.0,,379.48257,284.3486,85.476845,0.0,,
2023-04-29 00:00:00,40,50.75,4.25,6.3949738,15.372617,158.0,-2.0,2.8730967,-2.4617095,282.73474,281.57867,0.0,0.0,,390.7267,284.4956,95.55888,0.0,,
2023-04-29 00:00:00,41,50.75,4.25,3.742279,14.870649,158.0,-2.0,2.9872499,-1.473275,281.84238,281.51,0.0,0.0,,392.05365,284.60052,91.58528,0.0,,
2023-04-29 00:00:00,42,50.75,4.25,3.9629517,14.660717,158.0,-2.0,3.0685818,-2.1106193,281.8397,280.60654,0.0,0.0,,403.50665,284.47583,93.637695,0.0,,
2023-04-29 00:00:00,43,50.75,4.25,0.19308472,15.069027,158.0,-2.0,2.7117133,-2.5522008,281.85718,279.97095,0.0,0.0,,396.44226,284.48685,96.88037,0.0,,
2023-04-29 00:00:00,44,50.75,4.25,15.424255,15.848772,158.0,-2.0,2.500538,-2.310286,282.71964,281.8961,0.0,0.0,,388.91235,284.61493,99.27766,0.0,,
2023-04-29 00:00:00,45,50.75,4.25,10.344131,14.807227,158.0,-2.0,3.0258346,-2.091517,281.30087,281.1706,0.0,0.0,,379.46268,284.27737,99.999435,0.0,,
