,forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
0,2023-04-15,t2m,6 hour,8.615967969853944,8.615967969853944,8.615967969853944,8.615967969853944,8.642637403864372
1,2023-04-15,t2m,12 hour,8.053053053053075,8.249957976861202,8.760942760942758,9.419135574436572,9.419135574436572
2,2023-04-15,t2m,18 hour,9.020370370370358,9.419135574436572,9.419135574436572,9.419135574436572,9.419135574436572
3,2023-04-15,t2m,24 hour,8.906704369682918,9.419135574436572,9.419135574436572,9.419135574436572,10.753389830508477
4,2023-04-15,t2m,30 hour,8.873704563031726,8.873704563031726,8.873704563031726,8.873704563031726,9.296413596870481
5,2023-04-15,t2m,36 hour,9.37391786903441,9.621256931608114,9.621256931608114,9.621256931608114,9.621256931608114
6,2023-04-15,t2m,42 hour,7.0682476128472125,8.964124293785304,9.020370370370358,9.020370370370358,9.875761830590852
7,2023-04-15,t2m,48 hour,8.132108743570914,8.132108743570914,8.904471618700391,9.020370370370358,9.618990549828164
8,2023-04-15,t2m,54 hour,8.26370543541782,8.26370543541782,8.935238674369055,8.999087446370032,9.376879984051056
9,2023-04-15,t2m,60 hour,7.525226610490942,7.849999999999999,9.139303482587056,9.180206896551724,10.659822442475493
10,2023-04-15,t2m,66 hour,7.741715628672145,8.166105585309884,8.166105585309884,8.166105585309884,8.820392156862749
11,2023-04-15,t2m,72 hour,8.26370543541782,9.461649726348616,9.461649726348616,9.480382775119647,11.523800000000042
12,2023-04-15,t2m,78 hour,8.324713584288057,8.73092025724551,9.440392650392594,9.512733860158582,9.96544401970153
13,2023-04-15,t2m,84 hour,8.166105585309884,8.166105585309884,8.413114367901606,9.419135574436572,9.71170751129839
14,2023-04-15,t2m,90 hour,8.166105585309884,8.324713584288057,9.419135574436572,9.419135574436572,9.784304932735424
15,2023-04-15,t2m,96 hour,7.982336065573771,8.324713584288057,8.324713584288057,9.537759336099583,10.310000000000002
16,2023-04-15,t2m,102 hour,7.63245192307692,8.228965281317913,8.324713584288057,9.282777821585361,10.310000000000002
