time,number,latitude,longitude,cape,mx2t6,mn2t6,tcw,sshf,slhf,u10,v10,t2m,d2m,ssr,str,cin,sm,st,tcc,tp
2023-04-22 06:00:00,1,50.75,4.25,0.0,278.90594,276.05255,20.28347,128178.0,14362.0,-2.0119529,0.93119466,279.37387,278.45596,209056.0,-1091952.0,,354.64886,280.5812,99.98265,0.0
2023-04-22 06:00:00,2,50.75,4.25,2.7645493,278.70032,276.12625,19.76659,106692.5,4736.0,-1.8385081,0.7682545,279.12378,278.12347,189938.0,-1070997.0,,348.55405,280.5108,99.99791,0.0
2023-04-22 06:00:00,3,50.75,4.25,0.0,280.29007,276.6035,18.90249,123518.5,5699.0,-1.9406219,0.5621009,279.19107,278.1527,172834.0,-1013281.0,,359.74808,280.56693,99.93382,0.0
2023-04-22 06:00:00,4,50.75,4.25,6.6366158,279.2451,276.22165,19.710917,161571.0,6180.0,-1.9244876,1.1373483,279.24942,277.96106,182896.0,-1094893.0,,357.0102,280.4684,99.999435,0.0
2023-04-22 06:00:00,5,50.75,4.25,0.48189545,279.7715,276.99026,19.838408,170113.5,23988.0,-1.5975537,1.8318139,280.04996,278.8764,188932.0,-1078350.0,,347.9903,280.72324,99.999435,0.0
2023-04-22 06:00:00,6,50.75,4.25,1.8620529,279.4428,276.54584,20.024208,190046.0,10512.0,-2.11895,1.8694351,279.46796,278.31134,188932.0,-1162903.0,,359.914,280.50864,99.999435,0.0
2023-04-22 06:00:00,7,50.75,4.25,0.0,279.90698,275.72992,19.48888,97632.0,10030.0,-2.579205,0.70597625,279.0092,277.91785,209056.0,-1144889.0,,359.914,280.20215,97.15199,0.0
2023-04-22 06:00:00,8,50.75,4.25,2.9251862,278.83667,276.2144,18.80399,95561.5,-21734.0,-2.0302105,1.489665,279.14017,277.84692,183902.0,-978724.0,,361.65842,280.5032,99.871254,0.0
2023-04-22 06:00:00,9,50.75,4.25,0.7947006,280.09402,275.87366,19.842031,128436.5,13399.0,-2.1724482,1.5481303,278.93176,277.79175,200000.0,-1166947.0,,352.44495,280.44788,99.999435,0.0
2023-04-22 06:00:00,10,50.75,4.25,2.8807983,279.02002,276.60995,19.393015,123518.5,-76.0,-1.8215246,1.1482787,279.35303,278.1705,190946.0,-1058498.0,,356.64856,280.55374,99.67136,0.0
2023-04-22 06:00:00,11,50.75,4.25,0.7925873,279.97403,276.63788,19.229286,165195.0,33613.0,-2.3131995,0.82189,279.55875,278.56808,201006.0,-1155183.0,,362.21152,280.7681,99.75528,0.0
2023-04-22 06:00:00,12,50.75,4.25,0.19233704,279.40817,276.40958,19.58738,179691.5,886.0,-1.9748015,1.3188448,279.36136,278.07263,206038.0,-1121362.0,,343.78244,280.55374,99.99791,0.0
