,forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
0,2023-04-15,t2m,6 hour,7.806376385558307,8.131450119307932,8.277356874974,8.660416303714607,9.589371266455528
1,2023-04-15,t2m,12 hour,8.70326394765985,10.115455780580223,10.264040617975954,10.330919584413959,10.474513598329048
2,2023-04-15,t2m,18 hour,9.149088244734934,9.992462260014056,10.185812300998181,10.27293117527369,10.378775616185298
3,2023-04-15,t2m,24 hour,7.846781343904823,8.322872153047328,9.075863755559045,9.314891996067814,9.961899074580636
4,2023-04-15,t2m,30 hour,7.784842351466523,8.326365593172987,8.491744490289326,8.580071481713912,8.786762752227588
5,2023-04-15,t2m,36 hour,8.36956693034455,8.60965520923525,8.689288546577309,8.785278800864518,9.004426702729841
6,2023-04-15,t2m,42 hour,8.454573557577248,8.635937187151125,8.729710133459065,8.883747027774016,9.007553317801708
7,2023-04-15,t2m,48 hour,8.477130039645328,8.67695923691699,8.793899204062619,8.931566540729499,9.099139936077055
8,2023-04-15,t2m,54 hour,7.806376385558307,8.145430704018048,8.291209776819613,8.668828316404117,9.589371266455528
9,2023-04-15,t2m,60 hour,8.723214627556034,10.115455780580223,10.269053310488648,10.349781940454019,10.531238120723991
10,2023-04-15,t2m,66 hour,9.149088244734934,9.992462260014056,10.191374174836964,10.274089174344489,10.40080990278541
11,2023-04-15,t2m,72 hour,7.846781343904823,8.322872153047328,9.093325506250963,9.32703647221842,10.059803322346696
12,2023-04-15,t2m,78 hour,7.784842351466523,8.395266044814335,8.512422607172063,8.609605842250854,8.813948522684054
13,2023-04-15,t2m,84 hour,8.36956693034455,8.620571335317644,8.699054876327509,8.816514137268854,9.004426702729841
14,2023-04-15,t2m,90 hour,8.454573557577248,8.645081873014739,8.731160016646893,8.887981266080821,9.007553317801708
15,2023-04-15,t2m,96 hour,8.477130039645328,8.67695923691699,8.81001209705901,8.931566540729499,9.099139936077055
16,2023-04-15,t2m,102 hour,7.806376385558307,8.145009026803393,8.28977496060902,8.649656750229322,9.589371266455528
17,2023-04-15,t2m,108 hour,8.723214627556034,10.137625100333633,10.269053310488648,10.349781940454019,10.531238120723991
18,2023-04-15,t2m,114 hour,9.35128725515078,10.07093430472851,10.199896478597346,10.278231509293871,10.40080990278541
19,2023-04-15,t2m,120 hour,7.890830850041313,8.35167642243206,9.093325506250963,9.32703647221842,10.0481909281558
20,2023-04-15,wind,6 hour,2.02181257145996,2.486428065550902,2.683830179135799,2.8162730107721994,3.287445920003039
21,2023-04-15,wind,12 hour,1.9648814338517175,2.7651911757050884,2.838761139062117,2.888764532082537,2.977348474313905
22,2023-04-15,wind,18 hour,2.642251981847564,2.7575182467240573,2.8328402905838956,2.8790143058513524,3.3130922153553235
23,2023-04-15,wind,24 hour,2.6407333391826047,2.8179063165742875,3.1743293245871476,3.4171169714832406,3.517779745223649
24,2023-04-15,wind,30 hour,2.5039707789713965,3.0161481896215028,3.1150324515736885,3.2039773130371634,3.4109837373202136
